id,rating,word_count,first_person_pronoun_count,third_person_pronoun_count,verb_count,adjective_count,superlative_count,readability_ari,extremity
192,4,45,5,2,9,4,0,4.91,0
193,5,15,1,0,3,3,0,2.7390000000000008,1
194,4,74,3,6,13,8,0,3.767612612612613,0
195,4,49,3,2,12,8,1,3.367346938775512,0
196,5,31,1,2,4,4,0,2.576236559139783,1
197,5,13,0,0,2,2,0,12.24307692307692,1
198,5,17,1,0,4,1,0,5.261764705882353,1
199,1,12,0,1,3,0,0,3.017500000000002,1
200,2,456,4,5,89,36,0,10.573869969040246,0
201,5,25,2,1,7,2,0,5.167200000000001,1
202,5,15,0,1,2,2,0,5.556000000000001,1
203,5,145,7,4,27,11,0,2.077405835543768,1
204,4,36,1,1,7,0,0,1.9708333333333314,0
205,5,20,3,0,6,1,0,7.41,1
206,5,176,10,6,30,16,1,4.133030303030303,1
207,4,77,0,1,14,7,0,12.384242424242423,0
208,5,15,1,0,0,4,0,7.736000000000001,1
209,5,16,2,2,4,1,0,-0.8064583333333317,1
210,5,32,4,0,6,2,0,3.9208333333333307,1
211,5,67,5,1,13,8,0,3.3367164179104485,1
212,5,176,4,4,24,23,0,7.7621590909090905,1
213,2,131,3,2,22,12,0,13.3863358778626,0
214,3,87,4,1,17,5,1,12.343103448275862,0
215,5,25,3,2,3,2,0,2.906399999999998,1
216,5,3,0,0,1,0,0,-2.66,1
217,5,43,5,2,11,7,0,3.043178294573643,1
218,2,192,14,6,45,17,0,4.12890625,0
219,5,33,0,2,7,6,1,15.337272727272726,1
220,5,64,3,3,9,7,0,10.06369791666667,1
221,4,37,2,0,6,6,0,8.824054054054052,0
222,5,3,0,0,1,0,0,3.620000000000001,1
223,5,42,5,0,12,2,0,3.4007142857142867,1
224,5,28,0,1,6,4,2,2.896071428571428,1
225,5,14,1,0,3,1,0,3.4007142857142867,1
226,4,58,2,3,13,6,0,9.025632183908044,0
227,3,912,29,11,167,52,0,4.746987425049966,0
228,5,56,2,3,11,3,0,3.653035714285714,1
229,5,3,0,1,0,0,0,0.4800000000000004,1
230,5,2,0,0,0,1,0,7.829999999999998,1
231,4,26,0,1,5,3,0,4.460641025641024,0
232,5,80,2,1,11,4,0,2.8991666666666696,1
233,5,111,6,0,23,2,0,3.851081081081084,1
234,5,121,3,2,21,10,0,6.957706611570249,1
235,4,42,1,1,7,3,0,1.807142857142857,0
236,5,7,1,0,0,1,0,0.9100000000000001,1
237,5,39,2,0,6,5,0,9.092307692307692,1
238,5,4,0,0,2,1,0,1.7650000000000006,1
239,2,41,3,0,11,1,0,9.527723577235772,0
240,5,62,2,1,10,3,0,0.7534408602150542,1
241,5,23,0,2,4,1,1,-0.8044927536231903,1
242,1,10,0,1,2,0,0,3.2070000000000007,1
243,4,31,4,1,5,5,0,5.463870967741936,0
244,5,133,7,5,27,9,0,5.085056390977446,1
245,4,17,1,0,1,3,0,0.551764705882352,0
246,4,240,20,6,45,22,0,4.21641447368421,0
247,5,21,1,1,5,2,0,4.498571428571427,1
